state_name,district_name,cattle,buffalo,bovines_total,species_richness,avg_herd_per_record,bov_norm,herd_norm,rich_norm,priority_score,rank,cluster,segment
Rajasthan,Jhunjhunu,269096,347110,616206,10,616206,0.2130230042504659,0.2130230042504659,1.0,0.29172070382541937,152,0,Segment_1
Bihar,Kishanganj,587175,60930,648105,9,648105,0.22405429640800878,0.22405429640800878,0.875,0.2891488667672079,153,0,Segment_1
Uttar Pradesh,Kasganj,79666,527709,607375,10,607375,0.20996907337353368,0.20996907337353368,1.0,0.2889721660361803,154,0,Segment_1
Uttar Pradesh,Ambedkar Nagar,262839,343283,606122,10,606122,0.20953576170002036,0.20953576170002036,1.0,0.28858218553001835,155,0,Segment_1
Madhya Pradesh,SEHORE,368540,275960,644500,9,644500,0.22280761757080567,0.22280761757080567,0.875,0.2880268558137251,156,0,Segment_1
Bihar,Pashchim Champaran,411203,272643,683846,8,683846,0.2364142265939939,0.2364142265939939,0.75,0.2877728039345945,157,0,Segment_1
Odisha,Mayurbhanj,673442,8569,682011,8,682011,0.23577964804579202,0.23577964804579202,0.75,0.2872016832412128,158,0,Segment_1
Tamil Nadu,Salem,633437,48411,681848,8,681848,0.23572327948810434,0.23572327948810434,0.75,0.28715095153929393,159,0,Segment_1
Maharashtra,Satara,352436,326896,679332,8,679332,0.23485319794735454,0.23485319794735454,0.75,0.2863678781526191,160,0,Segment_1
Punjab,Ludhiana,227300,371622,598922,10,598922,0.20704586221933732,0.20704586221933732,1.0,0.28634127599740355,161,0,Segment_1
Madhya Pradesh,DEWAS,387133,249338,636471,9,636471,0.22003103383047173,0.22003103383047173,0.875,0.2855279304474246,162,0,Segment_1
Gujarat,SURENDRANAGAR,325680,350911,676591,8,676591,0.23390530704783338,0.23390530704783338,0.75,0.28551477634305,163,0,Segment_1
Bihar,Saharsa,429494,206350,635844,9,635844,0.21981420508402894,0.21981420508402894,0.875,0.28533278457562605,164,0,Segment_1
Maharashtra,Buldhana,461529,134148,595677,10,595677,0.20592367835616837,0.20592367835616837,1.0,0.2853313105205515,165,0,Segment_1
Haryana,HISAR,169527,425846,595373,10,595373,0.20581854926698398,0.20581854926698398,1.0,0.2852366943402856,166,0,Segment_1
Rajasthan,Jhalawar,250823,344217,595040,10,595040,0.20570339141600238,0.20570339141600238,1.0,0.2851330522744021,167,0,Segment_1
Maharashtra,Amravati,464967,129627,594594,10,594594,0.20554915597594897,0.20554915597594897,1.0,0.2849942403783541,168,0,Segment_1
Gujarat,Mahisagar,308108,406003,714111,7,714111,0.24688044989717062,0.24688044989717062,0.625,0.2846924049074535,169,1,Segment_3
Madhya Pradesh,SINGRAULI,549102,81239,630341,9,630341,0.217911161078168,0.217911161078168,0.875,0.2836200449703512,170,0,Segment_1
Uttar Pradesh,Faizabad,274526,348161,622687,9,622687,0.21526425960245296,0.21526425960245296,0.875,0.28123783364220767,171,2,Segment_2
Madhya Pradesh,DAMOH,480106,137718,617824,9,617824,0.21358253999487498,0.21358253999487498,0.875,0.27972428599538746,172,2,Segment_2
Karnataka,Tumkur,431251,142047,573298,10,573298,0.19818458662308422,0.19818458662308422,1.0,0.27836612796077576,173,2,Segment_2
West Bengal,Jalpaiguri,727592,5381,732973,6,732973,0.25340329489781555,0.25340329489781555,0.5,0.278062965408034,174,1,Segment_3
West Bengal,24 Paraganas North,697601,34443,732044,6,732044,0.253082028700933,0.253082028700933,0.5,0.2777738258308397,175,1,Segment_3
Rajasthan,Tonk,171736,437452,609188,9,609188,0.21059604389554457,0.21059604389554457,0.875,0.2770364395059901,176,2,Segment_2
Jharkhand,Gumla,558248,90480,648728,8,648728,0.2242697418769623,0.2242697418769623,0.75,0.2768427676892661,177,2,Segment_2
Gujarat,RAJKOT,377285,269056,646341,8,646341,0.22344427103524142,0.22344427103524142,0.75,0.27609984393171727,178,2,Segment_2
Rajasthan,Baran,298103,266017,564120,10,564120,0.19501065642395796,0.19501065642395796,1.0,0.2755095907815621,179,2,Segment_2
Punjab,Sangrur,160487,402475,562962,10,562962,0.19461019759081477,0.19461019759081477,1.0,0.2751491778317333,180,2,Segment_2
Uttar Pradesh,Jalaun,204198,357697,561895,10,561895,0.19424120832055244,0.19424120832055244,1.0,0.2748170874884972,181,2,Segment_2
Bihar,Sitamarhi,179185,381261,560446,10,560446,0.19374011605006497,0.19374011605006497,1.0,0.2743661044450585,182,2,Segment_2
Karnataka,Shimoga,518653,120563,639216,8,639216,0.22098030800748214,0.22098030800748214,0.75,0.2738822772067339,183,2,Segment_2
Uttar Pradesh,Farrukhabad,114665,443701,558366,10,558366,0.19302081175564542,0.19302081175564542,1.0,0.2737187305800809,184,2,Segment_2
Gujarat,AHMADABAD,211977,381499,593476,9,593476,0.20516252991769846,0.20516252991769846,0.875,0.27214627692592863,185,2,Segment_2
Rajasthan,Karauli,73155,518622,591777,9,591777,0.20457498280413172,0.20457498280413172,0.875,0.27161748452371853,186,2,Segment_2
Maharashtra,Osmanabad,362422,188446,550868,10,550868,0.19042785810201188,0.19042785810201188,1.0,0.27138507229181064,187,2,Segment_2
Uttar Pradesh,Varanasi,306849,243685,550534,10,550534,0.19031235443165798,0.19031235443165798,1.0,0.27128111898849216,188,2,Segment_2
Madhya Pradesh,BHIND,126126,424230,550356,10,550356,0.19025079858338553,0.19025079858338553,1.0,0.27122571872504697,189,2,Segment_2
Madhya Pradesh,SIDHI,520013,110308,630321,8,630321,0.21790424469072164,0.21790424469072164,0.75,0.2711138202216495,190,2,Segment_2
Andhra Pradesh,Vizianagaram,490989,135858,626847,8,626847,0.21670286819129206,0.21670286819129206,0.75,0.27003258137216285,191,2,Segment_2
Uttar Pradesh,Moradabad,176934,408720,585654,9,585654,0.20245753078743417,0.20245753078743417,0.875,0.26971177770869076,192,2,Segment_2
Bihar,Begusarai,456975,86408,543383,10,543383,0.18783940010021846,0.18783940010021846,1.0,0.26905546009019665,193,2,Segment_2
Andhra Pradesh,Y.S.R.,137099,486581,623680,8,623680,0.21560765823916384,0.21560765823916384,0.75,0.2690468924152475,194,2,Segment_2
Uttar Pradesh,Hathras,124447,417778,542225,10,542225,0.18743894126707528,0.18743894126707528,1.0,0.26869504714036774,195,2,Segment_2
